numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
67384,1,"Co-Amoxicillin Devatis 312,5 (250 mg / 62,5 mg), Pulver zur Herstellung einer Suspension zum Einnehmen",Devatis AG,Synthetika,08.01.93,J01CR02,2020-05-07,2020-05-07,unbegrenzt,A,A,"amoxicillinum anhydricum, acidum clavulanicum",Infektionskrankheiten,,,maladie_infectieuses,2020
67401,1,"Dafalgan Extra 500 mg / 65 mg, Filmtabletten",UPSA Switzerland AG,Synthetika,01.01.2.,N02BE51,2020-07-14,2020-07-14,unbegrenzt,D,D,"paracetamolum, coffeinum",Analgetikum,,,autre,2020
67402,1,"Rubraca 200 mg, Filmtabletten",mmpharm GmbH,Synthetika,07.16.1.,L01XK03,2020-11-26,2020-11-26,unbegrenzt,A,A,rucaparibum,"Ovarial-, Eileiter- oder primäres Peritonealkarzinom",,Black Triangle,cancer,2020
67402,2,"Rubraca 250 mg, Filmtabletten",mmpharm GmbH,Synthetika,07.16.1.,L01XK03,2020-11-26,2020-11-26,unbegrenzt,A,A,rucaparibum,"Ovarial-, Eileiter- oder primäres Peritonealkarzinom",,Black Triangle,cancer,2020
67402,3,"Rubraca 300 mg, Filmtabletten",mmpharm GmbH,Synthetika,07.16.1.,L01XK03,2020-11-26,2020-11-26,unbegrenzt,A,A,rucaparibum,"Ovarial-, Eileiter- oder primäres Peritonealkarzinom",,Black Triangle,cancer,2020
67406,1,"Colistin zur Infusion 1 Mio IE, Pulver zur Herstellung einer Infusionslösung",Teva Pharma AG,Synthetika,08.01.9.,J01XB01,2020-05-12,2020-05-12,unbegrenzt,A,A,colistimethatum natricum,Infektionskrankheiten,,,maladie_infectieuses,2020
67406,2,"Colistin zur Infusion 2 Mio IE, Pulver zur Herstellung einer Infusionslösung",Teva Pharma AG,Synthetika,08.01.9.,J01XB01,2020-05-12,2020-05-12,unbegrenzt,A,A,colistimethatum natricum,Infektionskrankheiten,,,maladie_infectieuses,2020
67413,1,"neotylol Grippe Classic, Pulver zur Herstellung einer Lösung zum Einnehmen",NOBEL Pharma Schweiz AG,Synthetika,01.01.2.,N02BE51,2020-03-17,2020-03-17,unbegrenzt,D,D,"paracetamolum, pheniramini maleas, phenylephrini hydrochloridum, acidum ascorbicum",Symptomatische Behandlung bei Erkältungskrankheiten,,,autre,2020
67419,1,"Canephron, überzogene Tabletten",Biomed AG,Phytoarzneimittel,05.02.0.,G04BX,2020-10-01,2020-10-01,unbegrenzt,D,D,"centaurii herbae pulvis (Centaurium erythraea Rafn s.l., herba), levistici radicis pulvis (Levisticum officinale Koch, radix), rosmarini folii pulvis (Rosmarinus officinalis L., folium)",Traditionsgemäss als unterstützende Behandlung bei unkomplizierten Harnwegsinfekten der Frau und zur Durchspülung der Harnwege,,,autre,2020
67423,1,"Agomelatin Spirig HC 25 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,01.06.0.,N06AX22,2020-10-15,2020-10-15,unbegrenzt,B,B,agomelatinum,Antidepressivum,,,autre,2020
67425,1,"Kaloba, Sirup",Schwabe Pharma AG,Phytoarzneimittel,03.05.0.,R05X,2020-12-11,2020-12-11,unbegrenzt,D,D,"pelargonii radicis extractum ethanolicum siccum (Pelargonium sidoides DC, radix)",Symptomatische Behandlung einer akuten Bronchitis,,,appareil_respiratoire,2020
67426,1,"Xofluza 20 mg, Filmtabletten",Roche Pharma (Schweiz) AG,Synthetika,08.03.0.,J05AX25,2020-02-19,2020-02-19,unbegrenzt,B,B,baloxavirum marboxilum,"Behandlung von Influenza, Influenza-Postexpositionsprophylaxe",,,maladie_infectieuses,2020
67426,2,"Xofluza 40 mg, Filmtabletten",Roche Pharma (Schweiz) AG,Synthetika,08.03.0.,J05AX25,2020-02-19,2020-02-19,unbegrenzt,B,B,baloxavirum marboxilum,"Behandlung von Influenza, Influenza-Postexpositionsprophylaxe",,,maladie_infectieuses,2020
67426,3,"Xofluza 80 mg, Filmtabletten",Roche Pharma (Schweiz) AG,Synthetika,08.03.0.,J05AX25,2020-02-19,2022-08-30,unbegrenzt,B,B,baloxavirum marboxilum,"Behandlung von Influenza, Influenza-Postexpositionsprophylaxe",,,maladie_infectieuses,2020
67427,1,"Imraldi 40 mg/0.8 ml, Injektionslösung in einer Fertigspritze",Samsung Bioepis CH GmbH,Biotechnologika,07.15.0.,L04AB04,2020-04-03,2020-04-03,unbegrenzt,B,B,adalimumabum,"Rheumatoide Arthritis, polyartikuläre juvenile idiopathische Arthritis, psoriatische Arthritis,
ankylosierende Spondylitis (Morbus Bechterew), Morbus Crohn bei Erwachsenen,
ulcerative Colitis, Plaque Psoriasis bei Erwachsenen, Hidradenitis suppurativa",,,cancer,2020
67427,2,"Imraldi 40 mg/0.4 ml, Injektionslösung in einer Fertigspritze",Samsung Bioepis CH GmbH,Biotechnologika,07.15.0.,L04AB04,2020-04-03,2024-12-18,unbegrenzt,B,B,adalimumabum,"Rheumatoide Arthritis, polyartikuläre juvenile idiopathische Arthritis, psoriatische Arthritis,
ankylosierende Spondylitis (Morbus Bechterew), Morbus Crohn bei Erwachsenen,
ulcerative Colitis, Plaque Psoriasis bei Erwachsenen, Hidradenitis suppurativa",,,cancer,2020
67431,1,"Triogen 250 mg, Kapseln",IDEOGEN AG,Synthetika,07.99.0.,A16AX12,2020-05-28,2020-05-28,unbegrenzt,B,B,trientini dihydrochloridum,"Behandlung von Morbus Wilson bei Patienten, die eine Behandlung mit D-Penicillamin nicht vertragen",,,autre,2020
67433,1,"Azacitidin Sandoz 100 mg, Pulver zur Herstellung einer Injektionssuspension",Sandoz Pharmaceuticals AG,Synthetika,07.16.1.,L01BC07,2020-05-20,2020-05-20,unbegrenzt,A,A,azacitidinum,Zytostatikum,,,cancer,2020
67440,1,"Methylthioniniumchlorid Proveblue 5 mg/ml, Injektionslösung",Grosse Apotheke Dr. G. Bichsel AG,Antidota,15.01.0.,V03AB17,2020-09-03,2020-09-03,unbegrenzt,B,B,methylthioninii chloridum,Antidot bei Methämoglobinämie,,,autre,2020
67446,1,"Rybelsus 3 mg, Tabletten",Novo Nordisk Pharma AG,Biotechnologika,07.06.2.,A10BJ06,2020-03-24,2020-03-24,unbegrenzt,B,B,semaglutidum,Diabetes mellitus Typ 2,,,autre,2020
67446,2,"Rybelsus 7 mg, Tabletten",Novo Nordisk Pharma AG,Biotechnologika,07.06.2.,A10BJ06,2020-03-24,2020-03-24,unbegrenzt,B,B,semaglutidum,Diabetes mellitus Typ 2,,,autre,2020
67446,3,"Rybelsus 14 mg, Tabletten",Novo Nordisk Pharma AG,Biotechnologika,07.06.2.,A10BJ06,2020-03-24,2020-03-24,unbegrenzt,B,B,semaglutidum,Diabetes mellitus Typ 2,,,autre,2020
67447,1,"Co-Olmesartan Amlo Spirig HC 20 mg/5 mg/12.5 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DX03,2020-04-22,2020-04-22,unbegrenzt,B,B,"olmesartanum medoxomilum, amlodipinum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67447,2,"Co-Olmesartan Amlo Spirig HC 40 mg/5 mg/12.5 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DX03,2020-04-22,2020-04-22,unbegrenzt,B,B,"olmesartanum medoxomilum, amlodipinum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67447,3,"Co-Olmesartan Amlo Spirig HC 40 mg/5 mg/25 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DX03,2020-04-22,2020-04-22,unbegrenzt,B,B,"olmesartanum medoxomilum, amlodipinum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67447,4,"Co-Olmesartan Amlo Spirig HC 40 mg/10 mg/12.5 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DX03,2020-04-22,2020-04-22,unbegrenzt,B,B,"olmesartanum medoxomilum, amlodipinum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67447,5,"Co-Olmesartan Amlo Spirig HC 40 mg/10 mg/25 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DX03,2020-04-22,2020-04-22,unbegrenzt,B,B,"olmesartanum medoxomilum, amlodipinum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67454,1,"Inhixa 2000 IE (20 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67454,2,"Inhixa 4000 IE (40 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67454,3,"Inhixa 6000 IE (60 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67454,4,"Inhixa 8000 IE (80 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67454,5,"Inhixa 10000 IE (100 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67454,6,"Inhixa 12000 IE (120 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67454,7,"Inhixa 15000 IE (150 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67455,1,"Inhixa Multi 30000 IE (300 mg), Injektionslösung",Viatris Pharma GmbH,Biotechnologika,06.03.3.,B01AB05,2020-06-10,2020-06-10,unbegrenzt,B,B,enoxaparinum natricum,Antikoagulans,,,appareil_circulatoire,2020
67456,1,"Lenalidomid Sandoz 2.5 mg, Kapseln",Sandoz Pharmaceuticals AG,Synthetika,07.16.4.,L04AX04,2020-05-05,2020-05-05,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67456,2,"Lenalidomid Sandoz 5 mg, Kapseln",Sandoz Pharmaceuticals AG,Synthetika,07.16.4.,L04AX04,2020-05-05,2020-05-05,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67456,3,"Lenalidomid Sandoz 7.5 mg, Kapseln",Sandoz Pharmaceuticals AG,Synthetika,07.16.4.,L04AX04,2020-05-05,2020-05-05,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67456,4,"Lenalidomid Sandoz 10 mg, Kapseln",Sandoz Pharmaceuticals AG,Synthetika,07.16.4.,L04AX04,2020-05-05,2020-05-05,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67456,5,"Lenalidomid Sandoz 15 mg, Kapseln",Sandoz Pharmaceuticals AG,Synthetika,07.16.4.,L04AX04,2020-05-05,2020-05-05,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67456,6,"Lenalidomid Sandoz 20 mg, Kapseln",Sandoz Pharmaceuticals AG,Synthetika,07.16.4.,L04AX04,2020-05-05,2020-05-05,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67456,7,"Lenalidomid Sandoz 25 mg, Kapseln",Sandoz Pharmaceuticals AG,Synthetika,07.16.4.,L04AX04,2020-05-05,2020-05-05,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67465,1,"Baqsimi, Nasenpulver",Future Health Pharma GmbH,Synthetika,07.06.3.,H04AA01,2020-06-11,2020-06-11,unbegrenzt,B,B,glucagonum,schwere Hypoglykämie,,,autre,2020
67466,1,"Juliette, Filmtabletten",Spirig HealthCare AG,Synthetika,09.02.1.,G03AA16,2020-04-09,2020-04-09,unbegrenzt,B,B,"dienogestum, ethinylestradiolum",Hormonales Kontrazeptivum,,,autre,2020
67467,1,"Ogivri 150 mg, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung",Medius AG,Biotechnologika,07.16.1.,L01FD01,2020-04-02,2020-04-02,unbegrenzt,A,A,trastuzumabum,"Mammakarzinom, Magenkarzinom oder Karzinom des gastroösophagealen Übergangs",,,cancer,2020
67470,1,"Ogivri 440 mg, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung",Medius AG,Biotechnologika,07.16.1.,L01FD01,2020-04-02,2020-04-02,unbegrenzt,A,A,trastuzumabum,"Mammakarzinom, Magenkarzinom oder Karzinom des gastroösophagealen Übergangs",,,cancer,2020
67475,1,"Attentin 5 mg,Tabletten",Salmon Pharma GmbH,Synthetika,01.10.2.,N06BA02,2020-11-16,2020-11-16,unbegrenzt,A+,A+,dexamfetaminum,ADHS,,,autre,2020
67475,2,"Attentin 10 mg,Tabletten",Salmon Pharma GmbH,Synthetika,01.10.2.,N06BA02,2020-11-16,2020-11-16,unbegrenzt,A+,A+,dexamfetaminum,ADHS,,,autre,2020
67475,3,"Attentin 20 mg,Tabletten",Salmon Pharma GmbH,Synthetika,01.10.2.,N06BA02,2020-11-16,2020-11-16,unbegrenzt,A+,A+,dexamfetaminum,ADHS,,,autre,2020
67478,1,"Fulphila 6 mg, Injektionslösung",Medius AG,Biotechnologika,06.07.3.,L03AA13,2020-01-29,2020-01-29,unbegrenzt,A,A,pegfilgrastimum,Neutropenie,,,cancer,2020
67481,1,"Bortezomib Accord 1 mg, Pulver zur Herstellung einer lnjektionslösung",Accord Healthcare AG,Synthetika,07.16.1.,L01XG01,2020-03-06,2020-03-06,unbegrenzt,A,A,bortezomibum,Multiples Myelom,,,cancer,2020
67481,2,"Bortezomib Accord 3.5 mg, Pulver zur Herstellung einer lnjektionslösung",Accord Healthcare AG,Synthetika,07.16.1.,L01XG01,2020-03-06,2020-03-06,unbegrenzt,A,A,bortezomibum,Multiples Myelom,,,cancer,2020
67488,1,"Besremi 250 μg / 0,5 ml, Injektionslösung im Fertigpen",OrPha Swiss GmbH,Biotechnologika,07.16.1.,L03AB15,2020-07-01,2020-07-01,unbegrenzt,A,A,ropeginterferonum alfa-2b,Polycythaemia vera,,,cancer,2020
67488,2,"Besremi 500 μg / 0,5 ml, Injektionslösung im Fertigpen",OrPha Swiss GmbH,Biotechnologika,07.16.1.,L03AB15,2020-07-01,2020-07-01,unbegrenzt,A,A,ropeginterferonum alfa-2b,Polycythaemia vera,,,cancer,2020
67489,1,"Etoricoxib-Mepha 30 mg, Lactab",Mepha Pharma AG,Synthetika,07.10.1.,M01AH05,2020-04-02,2020-04-02,unbegrenzt,B,B,etoricoxibum,Arthritis und rheumatische Krankheiten,,,autre,2020
67489,2,"Etoricoxib-Mepha 60 mg, Lactab",Mepha Pharma AG,Synthetika,07.10.1.,M01AH05,2020-04-02,2020-04-02,unbegrenzt,B,B,etoricoxibum,Arthritis und rheumatische Krankheiten,,,autre,2020
67494,1,"Lixim Patch, wirkstoffhaltiges Pflaster",Drossapharm AG,Synthetika,07.10.4.,M02AA06,2020-07-22,2020-07-22,unbegrenzt,D,D,etofenamatum,Kutanes Antiphlogistikum,,,autre,2020
67495,1,"Vitamin D3 Spirig HC, Weichkapseln",Spirig HealthCare AG,Synthetika,07.02.3.,A11CC05,2020-02-13,2020-02-13,unbegrenzt,D,D,cholecalciferolum,Vitamin D-Präparat,,,autre,2020
67496,1,"Vitamin D3 Spirig HC 2740 I.E./ml, ölige Lösung zum Einnehmen",Spirig HealthCare AG,Synthetika,07.02.3.,A11CC05,2020-02-13,2020-02-13,unbegrenzt,D,D,cholecalciferolum,Vitamin D-Präparat,,,autre,2020
67498,1,"Prilocain Hyperbar Sintetica 20 mg/ml, soluzione iniettabile",Sintetica SA,Synthetika,01.02.2.,N01BB04,2020-08-31,2020-08-31,unbegrenzt,B,B,prilocaini hydrochloridum,Anestesia intratecale,,,autre,2020
67501,1,"Zirabev 100 mg/4 ml, Konzentrat zur Herstellung einer Infusionslösung",Pfizer AG,Biotechnologika,07.16.1.,L01FG01,2020-05-10,2020-05-10,unbegrenzt,A,A,bevacizumabum,Onkologikum,,,cancer,2020
67501,2,"Zirabev 400 mg/16 ml, Konzentrat zur Herstellung einer Infusionslösung",Pfizer AG,Biotechnologika,07.16.1.,L01FG01,2020-05-10,2020-05-10,unbegrenzt,A,A,bevacizumabum,Onkologikum,,,cancer,2020
67502,1,"Agomelatin-Mepha 25 mg, Filmtabletten",Mepha Pharma AG,Synthetika,01.06.0.,N06AX22,2020-10-15,2020-10-15,unbegrenzt,B,B,agomelatinum,Antidepressivum,,,autre,2020
67503,1,"Bydureon BCise 2 mg, Depot-lnjektionssuspension in einem Autoinjektor",AstraZeneca AG,Synthetika,07.06.,A10BJ01,2020-09-24,2020-09-24,unbegrenzt,B,B,exenatidum,Antidiabetikum,,,autre,2020
67512,1,"Ambiful 250 mg/5 ml, Injektionslösung in einer Fertigspritze",Curatis AG,Synthetika,07.16.2.,L02BA03,2020-02-10,2020-02-10,unbegrenzt,B,B,fulvestrantum,Cytostaticum,,,cancer,2020
67514,1,"Mictonorm 30 mg, Gélules à libération modifiée",Labatec Pharma SA,Synthetika,05.02.0.,G04BD06,2020-08-13,2020-08-13,unbegrenzt,B,B,propiverinum,Incontinence et fréquence urinaire,,,autre,2020
67515,1,"BETADINA, desinfizierendes Puderspray",iNova Pharmaceuticals (Switzerland) AG,Synthetika,10.09.1.,D08AG02,2020-11-20,2020-11-20,unbegrenzt,D,D,iodum,Wund-Antiseptikum,,,autre,2020
67516,1,"BETADINA, desinfizierendes Mund- und Rachenspray",iNova Pharmaceuticals (Switzerland) AG,Synthetika,12.03.3.,D08AG02,2020-11-20,2020-11-20,unbegrenzt,D,D,iodum,Antiseptikum für Mund und Rachen,,,autre,2020
67518,1,"Vyndaqel 61 mg, Weichkapseln",Pfizer AG,Synthetika,01.99.0.,N07XX08,2020-03-05,2020-03-05,unbegrenzt,B,B,tafamidisum,Behandlung der Transthyretin-Amyloidose bei erwachsenen Patienten mit Wildtyp- oder hereditärer Kardiomyopathie,,,autre,2020
67519,1,"Berinert SC 2000 IU, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",CSL Behring AG,Blutprodukte,06.01.1.,B06AC01,2020-06-16,2020-06-16,unbegrenzt,B,B,C1-esterasi inhibitor humanus,Routineprävention akuter Schübe bei hereditärem Angioödem,,,autre,2020
67519,2,"Berinert SC 3000 IU, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",CSL Behring AG,Blutprodukte,06.01.1.,B06AC01,2020-06-16,2020-06-16,unbegrenzt,B,B,C1-esterasi inhibitor humanus,Routineprävention akuter Schübe bei hereditärem Angioödem,,,autre,2020
67521,1,"NUBEQA 300 mg, Filmtabletten",Bayer (Schweiz) AG,Synthetika,07.16.2.,L02BB06,2020-06-19,2020-06-19,unbegrenzt,B,B,darolutamidum,"nicht-metastasiertes, kastrationsresistentes Prostatakarzinom (nmCRPC); metastasiertes, hormon-sensitives Prostatakarzinom (mHSPC)",,,cancer,2020
67525,1,"Sarclisa 100 mg/5 mL , solution à diluer pour perfusion",Sanofi-Aventis (Suisse) SA,Biotechnologika,07.16.1.,L01FC02,2020-03-18,2020-03-18,unbegrenzt,A,A,isatuximabum,myélome multiple,,,cancer,2020
67525,2,"Sarclisa 500 mg/25 mL , solution à diluer pour perfusion",Sanofi-Aventis (Suisse) SA,Biotechnologika,07.16.1.,L01FC02,2020-03-18,2020-03-18,unbegrenzt,A,A,isatuximabum,myélome multiple,,,cancer,2020
67526,1,"Glatiramyl 40 mg/ml, Injektionslösung in einer Fertigspritze",Viatris Pharma GmbH,Synthetika,01.99.0.,L03AX13,2020-05-12,2020-05-12,unbegrenzt,B,B,glatiramerum,Multiple Sklerose,,,cancer,2020
67534,1,"Entyvio subkutan 108 mg, Injektionslösung  in einem Fertigpen",Takeda Pharma AG,Biotechnologika,07.15.0.,L04AG05,2020-10-16,2020-10-16,unbegrenzt,A,A,vedolizumabum,"Colitis ulcerosa, Morbus Crohn",,,cancer,2020
67535,1,"Verkazia, Augentropfen Emulsion",Santen SA,Synthetika,11.06.2.,S01XA18,2020-03-03,2020-03-03,unbegrenzt,B,B,ciclosporinum,traitement de la kératoconjonctivite vernale sévère (VKC) chez les enfants à partir de 4 ans et les adolescents,,,autre,2020
67537,1,"Entyvio subkutan 108 mg, Injektionslösung  in einer Fertigspritze",Takeda Pharma AG,Biotechnologika,07.15.0.,L04AG05,2020-10-16,2020-10-16,unbegrenzt,A,A,vedolizumabum,"Colitis ulcerosa, Morbus Crohn",,,cancer,2020
67540,1,"Padma 28 N, Hartkapseln",PADMA AG,Tibetische Arzneimittel,20.03.2.,C01EX,2020-12-15,2020-12-15,unbegrenzt,D,D,"aucklandiae radicis pulvis (Saussurea costus (Falc.) Lipsch., radix), lichenis islandici pulvis (Cetraria islandica (L.) Acharius s.l., thallus), azadirachtae indicae fructus pulvis (Azadirachta indica A.Juss., fructus), cardamomi fructus pulvis (Elettaria cardamomum (L.) Maton, fructus), myrobalani fructus pulvis (Terminalia chebula Retz., fructus), pimentae fructus pulvis (Pimenta dioica (L.) Merr., fructus), marmeli fructus pulvis (Aegle marmelos (L.) Corrêa, fructus), calcii sulfas hemihydricus, aquilegiae vulgaris herbae pulvis (Aquilegia vulgaris L., herba), liquiritiae radicis pulvis (Glycyrrhiza glabra L. und/oder Glycyrrhiza inflata Bat. und/oder Glycyrrhiza uralensis Fisch., radix), plantaginis lanceolatae folii pulvis (Plantago lanceolata L. s.l., folium), polygoni avicularis herbae pulvis (Polygonum aviculare L. s.l., herba), potentillae aureae herbae pulvis (Potentilla aurea L., herba), caryophylli floris pulvis (Syzygium aromaticum (L.) Merr. & L.M.Perry, flos), kaempferiae galangae rhizomatis pulvis (Kaempferia galanga L., rhizoma), sidae cordifoliae herbae pulvis (Sida cordifolia L., herba) , valerianae radicis pulvis (Valeriana officinalis L. s.l., radix), lactucae sativae folii pulvis (Lactuca sativa var. capitata L., folium), calendulae floris cum calyce pulvis (Calendula officinalis L., flos cum calyce), dextrocamphora, tuberis aconiti pulvis (Aconitum napellus L., tuber)",Nach den Therapieprinzipien der Tibetischen Medizin bei Durchblutungsstörungen,,,appareil_circulatoire,2020
67541,1,"Padmed Circosan N, Hartkapseln",PADMA AG,Tibetische Arzneimittel,20.03.2.,C01EX,2020-12-15,2020-12-15,unbegrenzt,D,D,"aucklandiae radicis pulvis (Saussurea costus (Falc.) Lipsch., radix) , lichenis islandici pulvis (Cetraria islandica (L.) Acharius s.l., thallus) , azadirachtae indicae fructus pulvis (Azadirachta indica A.Juss., fructus) , cardamomi fructus pulvis (Elettaria cardamomum (L.) Maton, fructus) , myrobalani fructus pulvis (Terminalia chebula Retz., fructus) , pimentae fructus pulvis (Pimenta dioica (L.) Merr., fructus) , marmeli fructus pulvis (Aegle marmelos (L.) Corrêa, fructus), calcii sulfas hemihydricus, aquilegiae vulgaris herbae pulvis (Aquilegia vulgaris L., herba), liquiritiae radicis pulvis (Glycyrrhiza glabra L. und/oder Glycyrrhiza inflata Bat. und/oder Glycyrrhiza uralensis Fisch., radix), plantaginis lanceolatae folii pulvis (Plantago lanceolata L. s.l., folium) , polygoni avicularis herbae pulvis (Polygonum aviculare L. s.l., herba) , potentillae aureae herbae pulvis (Potentilla aurea L., herba) , caryophylli floris pulvis (Syzygium aromaticum (L.) Merr. & L.M.Perry, flos) , kaempferiae galangae rhizomatis pulvis (Kaempferia galanga L., rhizoma), sidae cordifoliae herbae pulvis (Sida cordifolia L., herba)  , valerianae radicis pulvis (Valeriana officinalis L. s.l., radix), lactucae sativae folii pulvis (Lactuca sativa var. capitata L., folium) , calendulae floris cum calyce pulvis (Calendula officinalis L., flos cum calyce) , dextrocamphora, tuberis aconiti pulvis (Aconitum napellus L., tuber)",Nach den Therapieprinzipien der Tibetischen Medizin bei Durchblutungsstörungen,,,appareil_circulatoire,2020
67544,1,"Escitalopram NOBEL 10 mg, Filmtabletten",NOBEL Pharma Schweiz AG,Synthetika,01.06.0.,N06AB10,2020-04-17,2020-04-17,unbegrenzt,B,B,escitalopramum,Selektiver Serotonin-Wiederaufnahmehemmer,,,autre,2020
67544,2,"Escitalopram NOBEL 20 mg, Filmtabletten",NOBEL Pharma Schweiz AG,Synthetika,01.06.0.,N06AB10,2020-04-17,2020-04-17,unbegrenzt,B,B,escitalopramum,Selektiver Serotonin-Wiederaufnahmehemmer,,,autre,2020
67550,1,"Lyumjev 100 units/mL, solution pour injection",Eli Lilly (Suisse) SA,Biotechnologika,07.06.1.,A10AB04,2020-12-03,2020-12-03,unbegrenzt,B,B,insulinum lisprum,Diabète sucré,,,autre,2020
67553,1,"Co-Valsartan Spirig HC 80/12.5 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DA03,2020-06-11,2020-06-11,unbegrenzt,B,B,"valsartanum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67553,2,"Co-Valsartan Spirig HC 160/12.5 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DA03,2020-06-11,2020-06-11,unbegrenzt,B,B,"valsartanum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67553,3,"Co-Valsartan Spirig HC 160/25 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.2.,C09DA03,2020-06-11,2020-06-11,unbegrenzt,B,B,"valsartanum, hydrochlorothiazidum",Hypertonie,,,appareil_circulatoire,2020
67559,1,"Valsartan Spirig HC 40 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.1.,C09CA03,2020-06-09,2020-06-09,unbegrenzt,B,B,valsartanum,Hypertonie,,,appareil_circulatoire,2020
67559,2,"Valsartan Spirig HC 80 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.1.,C09CA03,2020-06-09,2020-06-09,unbegrenzt,B,B,valsartanum,Hypertonie,,,appareil_circulatoire,2020
67559,3,"Valsartan Spirig HC 160 mg, Filmtabletten",Spirig HealthCare AG,Synthetika,02.07.1.,C09CA03,2020-06-09,2020-06-09,unbegrenzt,B,B,valsartanum,Hypertonie,,,appareil_circulatoire,2020
67561,1,"Lenalidomid Spirig HC 2.5 mg, Hartkapseln",Spirig HealthCare AG,Synthetika,07.16.4.,L04AX04,2020-04-01,2020-04-01,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67561,2,"Lenalidomid Spirig HC 5 mg, Hartkapseln",Spirig HealthCare AG,Synthetika,07.16.4.,L04AX04,2020-04-01,2020-04-01,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67561,3,"Lenalidomid Spirig HC 7.5 mg, Hartkapseln",Spirig HealthCare AG,Synthetika,07.16.4.,L04AX04,2020-04-01,2020-04-01,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
67561,4,"Lenalidomid Spirig HC 10 mg, Hartkapseln",Spirig HealthCare AG,Synthetika,07.16.4.,L04AX04,2020-04-01,2020-04-01,unbegrenzt,A,A,lenalidomidum,Onkologikum,,,cancer,2020
