numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
55057,2,"Dysport 300U, Pulver zur Herstellung einer Injektionslösung",IPSEN Pharma Schweiz GmbH,Biotechnologika,01.13.0.,M03AX01,2000-08-24,2014-04-02,unbegrenzt,A,A,complexus toxini botulinici A et haemagglutinini,"Symptomatische Behandlung von Blepharospasmus, Spasmus hemifacialis und assoziierten fokalen Dystonien, Torticollis spasticus, fokaler Spastik der oberen Extremitäten bei Patienten ab 2 Jahren, fokaler Spastik der unteren Extremitäten bei Patienten ab 2 Jahren, axillärer Hyperhidrose, Behandlung der Harninkontinenz",,,autre,2000
55060,2,"Aviral, Crème",Mepha Pharma AG,Synthetika,10.09.3.,D06BB03,2000-09-22,2012-04-16,unbegrenzt,D,D,aciclovirum,Herpes labialis,,,maladie_infectieuses,2000
55092,1,"Salamol Autohaler, Dosier-Aerosol",Teva Pharma AG,Synthetika,03.04.3.,R03AC02,2000-12-12,2000-12-12,unbegrenzt,B,B,salbutamolum,Bronchospasmolytikum,,,appareil_respiratoire,2000
55097,1,Medibudget Abführdragées Bisacodyl,Tentan AG,Synthetika,04.08.11,A06AB02,2000-11-16,2000-11-16,unbegrenzt,D,D,bisacodylum,Laxans,,,autre,2000
55100,1,"ClinOleic 20 %, Infusionsemulsion",Baxter AG,Synthetika,07.01.2.,B05BA02,2000-05-25,2000-05-25,unbegrenzt,B,B,"olivae oleum raffinatum, sojae oleum raffinatum",Parenterale Ernährung,,,autre,2000
55120,1,"Trileptal 150 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,01.07.1.,N03AF02,2000-03-21,2000-03-21,unbegrenzt,B,B,oxcarbazepinum,Antiepilepticum,,,autre,2000
55120,2,"Trileptal 300 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,01.07.1.,N03AF02,2000-03-21,2000-03-21,unbegrenzt,B,B,oxcarbazepinum,Antiepilepticum,,,autre,2000
55120,3,"Trileptal 600 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,01.07.1.,N03AF02,2000-03-21,2000-03-21,unbegrenzt,B,B,oxcarbazepinum,Antiepilepticum,,,autre,2000
55130,2,"Miflonide Breezhaler 200 mcg, Hartkapseln mit Pulver zur Inhalation",Novartis Pharma Schweiz AG,Synthetika,03.04.4.,R03BA02,2000-05-30,2000-05-30,2025-10-02,B,B,budesonidum,Obstruktive Atemwegserkrankungen,,,appareil_respiratoire,2000
55130,3,"Miflonide Breezhaler 400 mcg, Hartkapseln mit Pulver zur Inhalation",Novartis Pharma Schweiz AG,Synthetika,03.04.4.,R03BA02,2000-05-30,2000-05-30,2025-10-02,B,B,budesonidum,Obstruktive Atemwegserkrankungen,,,appareil_respiratoire,2000
55151,1,"Virucalm, crema",Zambon Svizzera SA,Synthetika,10.09.3.,D06BB03,2000-09-22,2000-09-22,2025-11-01,D,D,aciclovirum,Herpes labialis,,,maladie_infectieuses,2000
55155,1,"Cerazette, Filmtabletten",Organon GmbH,Synthetika,09.02.1.,G03AC09,2000-03-28,2000-03-28,unbegrenzt,B,B,desogestrelum,Hormonales Kontrazeptivum,,,autre,2000
55164,2,"Olfen duo release, Kapseln",Mepha Pharma AG,Synthetika,07.10.1.,M01AB05,2000-03-07,2011-12-21,unbegrenzt,B,B,diclofenacum natricum,"Antirheumatikum, Antiphlogistikum, Analgetikum",,,autre,2000
55185,1,"Co-Amoxicillin Sandoz 625, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,08.01.93,J01CR02,2000-09-27,2000-09-27,unbegrenzt,A,A,"acidum clavulanicum, amoxicillinum anhydricum",Infektionskrankheiten,,,maladie_infectieuses,2000
